time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.54185e-07	102605
1	2.54185e-07	5.14972e-07	77198.5
2	5.14972e-07	7.82715e-07	67805.2
3	7.82715e-07	1.05779e-06	90100.2
4	1.05779e-06	1.34062e-06	92072
5	1.34062e-06	1.63165e-06	89287.9
6	1.63165e-06	1.93137e-06	87480
7	1.93137e-06	2.24031e-06	86263
8	2.24031e-06	2.55906e-06	86046.7
9	2.55906e-06	2.88826e-06	87362.1
10	2.88826e-06	3.22862e-06	92117.4
11	3.22862e-06	3.58093e-06	92117.4
12	3.58093e-06	3.94605e-06	99953
13	3.94605e-06	4.32496e-06	99953
14	4.32496e-06	4.71872e-06	106246
15	4.71872e-06	5.12857e-06	106246
16	5.12857e-06	5.55586e-06	109296
17	5.55586e-06	6.00214e-06	109296
18	6.00214e-06	6.46919e-06	109436
19	6.46919e-06	6.95903e-06	109436
20	6.95903e-06	7.474e-06	108065
21	7.474e-06	8.01683e-06	108065
22	8.01683e-06	8.59068e-06	106226
23	8.59068e-06	9.19934e-06	106226
24	9.19934e-06	9.84729e-06	104308
25	9.84729e-06	1.054e-05	104308
26	1.054e-05	1.1284e-05	102617
27	1.1284e-05	1.20876e-05	102617
28	1.20876e-05	1.29612e-05	101718
29	1.29612e-05	1.39181e-05	101718
30	1.39181e-05	1.49759e-05	102405
31	1.49759e-05	1.61584e-05	102405
32	1.61584e-05	1.7499e-05	105144
33	1.7499e-05	1.90466e-05	105144
34	1.90466e-05	2.08771e-05	108605
35	2.08771e-05	2.31174e-05	108605
36	2.31174e-05	2.60057e-05	108553
37	2.60057e-05	3.00764e-05	108553
38	3.00764e-05	3.70355e-05	101988
39	3.70355e-05	inf	101988
